2026-07-23 21:58:37 | INFO    | monitor |   SNDK        TRIGGERED  lastC=1599.27  todayO=1565.68  now=1611.64  signals=[ma_break]
2026-07-23 21:58:37 | INFO    | monitor |   SOXL        TRIGGERED  lastC=160.99  todayO=152.16  now=157.22  signals=[ma_break]
2026-07-23 21:58:37 | INFO    | monitor |   VOO         ok         lastC=687.03  todayO=679.55  now=678.42  signals=[-]
2026-07-23 21:58:37 | INFO    | monitor |   VXUS        ok         lastC=84.46  todayO=83.49  now=83.60  signals=[-]
2026-07-23 21:58:37 | INFO    | monitor |   XLE         ok         lastC=59.20  todayO=60.22  now=59.40  signals=[-]
2026-07-23 21:58:37 | INFO    | monitor | ----------------------------------------------------------------------
2026-07-23 21:58:37 | INFO    | monitor | Portfolio summary: 12 triggered / 6 healthy / 18 total
2026-07-23 21:58:37 | INFO    | monitor | Index summary:     2 triggered / 1 healthy / 3 total
2026-07-23 21:58:38 | INFO    | monitor.alerts | Added comment to existing issue #3 (dedupe hit).
2026-07-23 21:58:38 | INFO    | monitor | Monitor run complete.
